"nim","formatif","uts","uas"
1114091352,82,76,69
1114091353,86,78,58
1114091354,79,79,65
1114091355,74,73,73
1114091356,97,51,79
1114091357,79,88,86
1114091358,73,62,78
1114091359,80,94,62
1114091360,100,82,92
1114091361,99,84,89
1114091362,72,77,90
1114091363,70,75,81
1114091364,92,74,91
1114091365,78,99,83
1114091366,88,65,100
1114091367,84,64,81
1114091368,71,97,83
1114091369,83,75,67
1114091370,87,86,64
1114091371,78,69,56
1114091372,82,98,67
1114091373,88,84,60
1114091374,88,79,75
1114091375,89,70,67
1114091376,97,91,76
1114091377,74,96,57
1114091378,81,92,73
1114091379,91,66,51
1114091380,90,52,94
1114091381,79,98,95
1114091382,77,59,75
1114091383,82,64,59
1114091384,73,58,62
1114091385,80,67,88
1114091386,98,76,81
1114091387,96,97,95
1114091388,96,88,74
1114091389,92,63,91
1114091390,79,83,70
1114091391,99,76,64
1114091392,82,57,81
1114091393,82,79,63
1114091394,95,71,52
1114091395,96,84,86
1114091396,97,82,78
1114091397,91,77,73
1114091398,70,96,55
1114091399,77,58,95
1114091400,86,89,73
1114091401,73,63,60
1114091402,84,71,89
1114091403,75,56,68
1114091404,76,51,87
1114091405,99,99,97
1114091406,71,87,68
1114091407,71,80,66
1114091408,77,74,72
1114091409,80,72,61
1114091410,80,81,99
1114091411,91,73,74
1114091412,95,81,61
1114091413,82,75,61
1114091414,92,71,69
1114091415,83,53,100
1114091416,87,66,62
1114091417,86,78,85
1114091418,73,93,98
1114091419,70,63,95
1114091420,83,85,100
1114091421,77,88,73
1114091422,91,50,100
1114091423,70,77,70
1114091424,81,58,58
1114091425,100,83,95
1114091426,92,74,72
1114091427,85,88,89
1114091428,98,56,86
1114091429,78,72,90
1114091430,73,94,80
1114091431,94,96,63
1114091432,78,51,75
1114091433,71,95,74
1114091434,91,78,88
1114091435,74,64,94
1114091436,90,99,56
1114091437,94,61,89
1114091438,93,92,56
1114091439,99,61,69
1114091440,83,98,94
1114091441,81,93,51
1114091442,89,90,51
1114091443,84,93,92
1114091444,71,86,69
1114091445,92,54,95
1114091446,74,88,83
1114091447,72,91,65
1114091448,99,96,97
1114091449,89,52,100
1114091450,83,93,79
1114091451,84,76,72
1114091452,74,66,75
1114091453,92,73,55
1114091454,72,72,94
1114091455,82,76,83
1114091456,97,92,100
1114091457,92,91,76
1114091458,86,70,60
1114091459,99,91,50
1114091460,70,96,84
1114091461,71,67,65
1114091462,70,80,70
1114091463,96,55,58
1114091464,79,97,68
1114091465,75,57,57
1114091466,86,82,84
1114091467,74,88,66
1114091468,72,63,89
1114091469,96,63,91
1114091470,100,76,100
1114091471,77,77,50
1114091472,86,96,55
1114091473,78,95,99
1114091474,99,74,87
1114091475,75,57,72
1114091476,75,58,58
1114091477,90,68,76
1114091478,88,94,96
1114091479,96,64,68
1114091480,96,51,69
1114091481,81,74,74
1114091482,82,50,94
1114091483,90,92,53
1114091484,84,71,53
1114091485,89,79,56
1114091486,87,69,94
1114091487,81,56,54
1114091488,88,87,80
1114091489,75,95,86
1114091490,82,59,50
1114091491,70,53,88
1114091492,79,74,93
1114091493,77,52,70
1114091494,70,80,67
1114091495,84,69,71
1114091496,100,100,85
1114091497,72,89,69
1114091498,84,83,89
1114091499,72,58,70
1114091500,75,100,92
